cmapSize, cmapNo, bufferSize, decayFactor, rebuildThreshold, ed, mem
10, 2, 120, 1.0, 0.09, 0.01415135263947622, 1992
10, 2, 120, 1.0, 0.3, 0.01415135263947622, 1992
10, 2, 120, 1.0, 0.5, 0.2713090209258545, 1992
10, 2, 120, 1.0, 0.7, 0.2713090209258545, 1992
10, 2, 120, 2.0, 0.01, 0.020129332551878595, 1992
10, 2, 120, 2.0, 0.09, 0.014059404703744218, 1992
10, 2, 120, 2.0, 0.3, 0.014059404703744218, 1992
10, 2, 120, 2.0, 0.5, 0.2713090209258545, 1992
10, 2, 120, 2.0, 0.7, 0.2713090209258545, 1992
10, 2, 120, 2.5, 0.01, 0.01999605523077654, 1992
10, 2, 120, 2.5, 0.09, 0.014341781619397958, 1992
10, 2, 120, 2.5, 0.3, 0.014341781619397958, 1992
10, 2, 120, 2.5, 0.5, 0.2713090209258545, 1992
10, 2, 120, 2.5, 0.7, 0.2713090209258545, 1992
10, 2, 150, 0.2, 0.01, 0.03214457655018796, 1992
10, 2, 150, 0.2, 0.09, 0.014142069928506456, 1992
10, 2, 150, 0.2, 0.3, 0.014142069928506456, 1992
10, 2, 150, 0.2, 0.5, 0.2713090209258545, 1992
10, 2, 150, 0.2, 0.7, 0.2713090209258545, 1992
10, 2, 150, 0.5, 0.01, 0.02927465359455162, 1992
10, 2, 150, 0.5, 0.09, 0.01431525014857458, 1992
10, 2, 150, 0.5, 0.3, 0.01431525014857458, 1992
10, 2, 150, 0.5, 0.5, 0.2713090209258545, 1992
10, 2, 150, 0.5, 0.7, 0.2713090209258545, 1992
10, 2, 150, 1.0, 0.01, 0.02468222974432169, 1992
10, 2, 150, 1.0, 0.09, 0.014229583525258552, 1992
10, 2, 150, 1.0, 0.3, 0.014229583525258552, 1992
10, 2, 150, 1.0, 0.5, 0.2713090209258545, 1992
10, 2, 150, 1.0, 0.7, 0.2713090209258545, 1992
10, 2, 150, 2.0, 0.01, 0.018936405051390645, 1992
10, 2, 150, 2.0, 0.09, 0.013912205291632602, 1992
10, 2, 150, 2.0, 0.3, 0.013912205291632602, 1992
10, 2, 150, 2.0, 0.5, 0.2713090209258545, 1992
10, 2, 150, 2.0, 0.7, 0.2713090209258545, 1992
10, 2, 150, 2.5, 0.01, 0.018536484564534574, 1992
10, 2, 150, 2.5, 0.09, 0.014061218350880166, 1992
10, 2, 150, 2.5, 0.3, 0.014061218350880166, 1992
10, 2, 150, 2.5, 0.5, 0.2713090209258545, 1992
10, 2, 150, 2.5, 0.7, 0.2713090209258545, 1992
10, 3, 10, 0.2, 0.01, 0.09186391529086088, 2952
10, 3, 10, 0.2, 0.09, 0.08448272443342814, 2952
